Date,container,lower_bound,upper_bound
2025-06-01,105.0,104.26,105.74
2025-06-02,104.55,103.81,105.28
2025-06-03,103.68,102.94,104.41
2025-06-04,104.91,104.18,105.65
2025-06-05,105.08,104.34,105.81
2025-06-06,103.18,102.45,103.92
2025-06-07,103.18,102.45,103.92
2025-06-08,103.18,102.45,103.92
2025-06-09,102.97,102.23,103.7
2025-06-10,102.4,101.67,103.14
2025-06-11,101.63,100.9,102.37
2025-06-12,101.85,101.12,102.59
2025-06-13,100.76,100.02,101.49
2025-06-14,100.76,100.02,101.49
2025-06-15,100.76,100.02,101.49
2025-06-16,101.56,100.82,102.29
2025-06-17,100.77,100.03,101.5
2025-06-18,100.13,99.39,100.86
2025-06-19,99.2,98.46,99.94
2025-06-20,97.2,96.46,97.94
2025-06-21,97.2,96.46,97.94
2025-06-22,97.2,96.46,97.94
2025-06-23,96.82,96.08,97.55
2025-06-24,96.12,95.38,96.85
2025-06-25,95.39,94.66,96.13
2025-06-26,94.62,93.89,95.36
2025-06-27,92.7,91.97,93.44
2025-06-28,92.7,91.97,93.44
2025-06-29,92.7,91.97,93.44
2025-06-30,92.13,91.39,92.86
